"Time (s)"	"Linear Acceleration x (m/s^2)"	"Linear Acceleration y (m/s^2)"	"Linear Acceleration z (m/s^2)"	"Absolute acceleration (m/s^2)"
2.298859875E0	7.418594633E0	-5.010276779E0	1.801621867E0	9.131498293E0
2.308854875E0	9.084911345E0	-6.698541015E0	2.658352396E0	1.159624523E1
2.318848875E0	1.047413377E1	-7.761179489E0	2.946094463E0	1.336498627E1
2.328842875E0	1.154471218E1	-8.097687335E0	2.612985020E0	1.434156931E1
2.338837875E0	1.239194917E1	-8.340915134E0	2.367293789E0	1.512399912E1
2.348831875E0	1.301906772E1	-8.795176547E0	2.234803483E0	1.586964403E1
2.358825875E0	1.322065399E1	-9.260685080E0	1.988781300E0	1.626349382E1
2.368820875E0	1.307145059E1	-9.531168505E0	1.435415429E0	1.624088702E1
2.378814875E0	1.276367421E1	-9.501241871E0	5.761290818E-1	1.592221408E1
2.388808875E0	1.219830927E1	-9.137466120E0	-2.637024093E-1	1.524341087E1
2.398803875E0	1.149605750E1	-8.547970887E0	-7.262393868E-1	1.434414751E1
2.408797875E0	1.069234601E1	-7.701667113E0	-9.407585263E-1	1.321086546E1
2.418791875E0	9.617146549E0	-6.532167850E0	-1.129390288E0	1.168050714E1
2.428786875E0	8.669142153E0	-5.131554464E0	-1.313472331E0	1.015933494E1
2.438780875E0	7.650122738E0	-3.841380363E0	-1.545360040E0	8.698776848E0
2.448774875E0	6.358291537E0	-2.655490184E0	-1.475151352E0	7.046670909E0
2.458769875E0	4.958279829E0	-1.266333979E0	-1.186067934E0	5.253084594E0
2.468763875E0	3.693203148E0	1.868366665E-1	-1.306472629E0	3.921929138E0
2.478757875E0	2.383480928E0	1.573581773E0	-1.655330964E0	3.301100048E0
2.488752875E0	1.231511909E0	2.670218444E0	-1.775145675E0	3.434796979E0
2.498746875E0	3.372208404E-1	3.458045676E0	-1.455562595E0	3.767022731E0
2.508740875E0	-6.233003247E-1	3.968694128E0	-3.744720626E-1	4.034757205E0
2.518735875E0	-1.385409456E0	4.339172835E0	7.357095373E-1	4.614005719E0
2.528729875E0	-1.978083673E0	4.594170494E0	1.774796011E0	5.307458755E0
2.538723875E0	-2.550957171E0	4.909612868E0	2.708706279E0	6.160257358E0
2.548718875E0	-3.241981117E0	5.090993498E0	3.256824859E0	6.858247919E0
2.558712875E0	-4.036092352E0	5.053853738E0	3.493603179E0	7.350968797E0
2.568706875E0	-4.580266400E0	5.004409098E0	3.422181779E0	7.598307630E0
2.578701875E0	-4.782132457E0	5.164609943E0	2.911065549E0	7.616842478E0
2.588695875E0	-5.187922792E0	5.235780498E0	2.087588720E0	7.660676666E0
2.598689875E0	-5.697449749E0	5.343848153E0	1.247860724E0	7.910423699E0
2.608684875E0	-5.859983048E0	5.572511122E0	6.055610418E-1	8.109191433E0
